ms	CPUProcA	CPUProcM	CPUA	CPUM	MEMA	MEMM	VSZA	VSZM	DRS	RSSA	RSSM	USEDA	UESDM	FREEA	FREEM	AVAILABLEA	AVAILABLEM
10.00	4.475	10.913	4.200	8.4	1.400	1.4	106.534	107.12	106.512	14.959	15.696	8.438	11.874	44.911	80.416	8.439	4.294	
8.00	4.527	8.942	4.300	7.7	1.400	1.4	106.615	107.244	106.593	14.806	15.688	8.327	12.054	44.299	80.152	8.327	3.770	
6.67	4.589	9.471	4.300	6.3	1.400	1.4	106.537	107.248	106.514	14.702	15.784	8.142	12.346	43.627	79.456	8.142	3.790	
5.71	4.287	6.942	4.200	5.2	1.400	1.4	106.451	106.988	106.429	14.576	15.264	7.796	11.434	42.823	78.604	7.797	3.554	
5.00	3.821	6.961	3.800	5.7	1.400	1.4	106.293	106.996	106.271	14.550	15.368	7.339	10.578	41.863	77.624	7.340	3.386	
4.00	3.067	5.98	3.100	5.3	1.300	1.4	105.882	106.728	105.860	14.428	14.896	6.750	9.642	40.778	76.068	6.751	2.702	
2.86	2.252	5.941	2.200	3.7	1.400	1.4	105.667	106.468	105.645	14.342	14.732	6.098	8.442	39.652	74.276	6.099	2.594	
2.00	1.677	4	1.500	4	1.400	1.4	104.221	106.204	104.198	14.375	14.968	5.723	7.554	38.779	72.792	5.723	2.986	
1.33	1.145	3.971	1.100	3.9	1.300	1.3	104.775	106.204	104.753	14.327	14.564	5.478	6.838	38.056	71.512	5.479	2.614	
1.00	0.896	2.98	0.800	3.4	1.200	1.2	101.516	105.94	101.494	14.237	14.428	5.164	6.750	37.310	70.508	5.165	2.302	
0.50	0.496	3.942	0.400	2.2	1.200	1.2	103.322	105.94	103.300	14.244	14.404	5.026	6.298	36.746	69.864	5.027	2.006	
0.20	0.267	2.942	0.200	2.7	1.200	1.2	99.908	105.94	99.886	14.216	14.38	4.941	6.610	36.229	69.280	4.942	1.826	
0.10	0.170	2	0.100	1.1	1.200	1.2	104.461	105.94	104.439	14.270	14.412	4.889	6.182	35.723	68.896	4.889	1.862	
