s		CPUE	CPUC	PCPU		CPUProcAE	CPUProcAC	PCPUProcA		CPUProcME	CPUProcMC	PCPUProcM
10		1.8	4.2	0.428571429		1.721	4.475	0.384581006		4.962	10.913	0.45468707
8		1.6	4.3	0.372093023		1.467	4.527	0.324055666		4.923	8.942	0.550547976
6.67		1.5	4.3	0.348837209		1.392	4.589	0.30333406		5.923	9.471	0.625382747
5.71		1.5	4.2	0.357142857		1.318	4.287	0.307441101		3.962	6.942	0.570728897
5		1.4	3.8	0.368421053		1.219	3.821	0.319026433		3.971	6.961	0.570464014
4		1.1	3.1	0.35483871		1.125	3.067	0.366807956		3.942	5.98	0.659197324
2.86		1.1	2.2	0.5		0.788	2.252	0.34991119		3.942	5.941	0.663524659
2		0.8	1.5	0.533333333		0.448	1.677	0.267143709		3	4	0.75
1.33		0.6	1.1	0.545454545		0.296	1.145	0.258515284		2.962	3.971	0.745907832
1		0.6	0.8	0.75		0.254	0.896	0.283482143		1.971	2.98	0.661409396
0.5		0.5	0.4	1.25		0.148	0.496	0.298387097		1.971	3.942	0.5
0.2		0.4	0.2	2		0.077	0.267	0.288389513		1.971	2.942	0.669952413
0.1		0.4	0.1	4		0.05	0.17	0.294117647		1.971	2	0.9855
