ms	CPUProcA	CPUProcM	CPUA	CPUM	MEMA	MEMM	VSZA	VSZM	DRS	RSSA	RSSM	USEDA	UESDM	FREEA	FREEM	AVAILABLEA	AVAILABLEM
10.00	1.721	4.962	1.800	17.4	0.700	0.7	79.951	80.352	78.330	8.878	9.108	9.987	11.038	46.323	79.584	9.987	8.442	
8.00	1.467	4.923	1.600	15.8	0.700	0.8	79.906	80.056	78.285	8.931	9.356	9.970	11.070	45.822	78.800	9.971	8.334	
6.67	1.392	5.923	1.500	16.2	0.700	0.8	79.972	80.268	78.351	8.997	9.388	9.719	11.002	45.069	78.176	9.720	8.074	
5.71	1.318	3.962	1.500	15.8	0.800	0.8	80.087	80.336	78.466	9.014	9.344	9.856	11.010	44.812	77.828	9.856	7.902	
5.00	1.219	3.971	1.400	16	0.700	0.7	80.024	80.38	78.403	8.808	9.14	9.703	10.786	44.233	77.308	9.703	7.482	
4.00	1.125	3.942	1.100	15.8	0.700	0.8	80.026	80.056	78.405	8.930	9.176	9.844	10.814	43.929	77.084	9.845	7.718	
2.86	0.788	3.942	1.100	15.6	0.700	0.7	80.056	80.24	78.435	8.879	9.072	9.642	10.826	43.292	76.464	9.643	6.858	
2.00	0.448	3	0.800	15	0.700	0.8	79.937	80.292	78.316	8.900	9.312	9.725	10.822	42.974	75.896	9.725	7.282	
1.33	0.296	2.962	0.600	15.2	0.800	0.8	80.007	80.056	78.386	8.985	9.228	9.753	10.814	42.526	75.580	9.754	7.438	
1.00	0.254	1.971	0.600	15.2	0.700	0.8	79.982	80.46	78.361	8.768	9.132	9.683	11.014	42.019	75.372	9.683	7.246	
0.50	0.148	1.971	0.500	14.8	0.700	0.7	80.062	80.24	78.441	8.811	9.108	9.507	10.622	41.417	74.132	9.508	6.830	
0.20	0.077	1.971	0.400	14.8	0.700	0.8	80.072	80.396	78.451	8.933	9.296	9.570	10.910	41.069	74.268	9.571	6.630	
0.10	0.050	1.971	0.400	14.6	0.700	0.7	80.100	80.32	78.479	8.811	9.108	9.491	10.962	40.528	73.764	9.492	6.454	
