s		VSZAE	VSZA	PVSAA		VSZME	VSZM	PVSZM		RSSAE	RSSA	PRSSA		RSSME	RSSM	PRSSM		USEDE	USEDC	PUSED		FREEE	FREEC	PFREE		AVAILABLEE	AVAILABLEC	PAVAILABLE
10		79.951	106.534	0.75		80.352	107.12	0.75		8.878	14.959	0.593		9.108	15.696	0.58		9.987	8.438	1.183574307		46.323	44.911	1.031439959		9.987	8.439	1.183434056
8		79.906	106.615	0.749		80.056	107.244	0.746		8.931	14.806	0.603		9.356	15.688	0.596		9.97	8.327	1.197309956		45.822	44.299	1.034380009		9.971	8.327	1.197430047
6.67		79.972	106.537	0.751		80.268	107.248	0.748		8.997	14.702	0.612		9.388	15.784	0.595		9.719	8.142	1.193687055		45.069	43.627	1.033052926		9.72	8.142	1.193809875
5.71		80.087	106.451	0.752		80.336	106.988	0.751		9.014	14.576	0.618		9.344	15.264	0.612		9.856	7.796	1.264238071		44.812	42.823	1.046447003		9.856	7.797	1.264075927
5		80.024	106.293	0.753		80.38	106.996	0.751		8.808	14.55	0.605		9.14	15.368	0.595		9.703	7.339	1.32211473		44.233	41.863	1.056613238		9.703	7.34	1.321934605
4		80.026	105.882	0.756		80.056	106.728	0.75		8.93	14.428	0.619		9.176	14.896	0.616		9.844	6.75	1.45837037		43.929	40.778	1.077272058		9.845	6.751	1.458302474
2.86		80.056	105.667	0.758		80.24	106.468	0.754		8.879	14.342	0.619		9.072	14.732	0.616		9.642	6.098	1.581174155		43.292	39.652	1.091798648		9.643	6.099	1.581078865
2		79.937	104.221	0.767		80.292	106.204	0.756		8.9	14.375	0.619		9.312	14.968	0.622		9.725	5.723	1.699283593		42.974	38.779	1.108177106		9.725	5.723	1.699283593
1.33		80.007	104.775	0.764		80.056	106.204	0.754		8.985	14.327	0.627		9.228	14.564	0.634		9.753	5.478	1.780394304		42.526	38.056	1.117458482		9.754	5.479	1.780251871
1		79.982	101.516	0.788		80.46	105.94	0.759		8.768	14.237	0.616		9.132	14.428	0.633		9.683	5.164	1.875096824		42.019	37.31	1.126212812		9.683	5.165	1.874733785
0.5		80.062	103.322	0.775		80.24	105.94	0.757		8.811	14.244	0.619		9.108	14.404	0.632		9.507	5.026	1.891563868		41.417	36.746	1.127115877		9.508	5.027	1.891386513
0.2		80.072	99.908	0.801		80.396	105.94	0.759		8.933	14.216	0.628		9.296	14.38	0.646		9.57	4.941	1.936854888		41.069	36.229	1.133594634		9.571	4.942	1.936665318
0.1		80.1	104.461	0.767		80.32	105.94	0.758		8.811	14.27	0.617		9.108	14.412	0.632		9.491	4.889	1.941296789		40.528	35.723	1.13450718		9.492	4.889	1.94150133
