s		CPUD	CPU	PCPU		CPUProcAE	CPUProcAC	PCPUProcA		CPUProcME	CPUProcMC	PCPUProcM		VSZAE	VSZA	PVSAA		VSZME	VSZM	PVSZM		RSSAE	RSSA	PRSSA		RSSME	RSSM	PRSSM
10		1.533	0.2	7.665		1.541	0.214	7.200934579		4.98	1.99	2.502512563		41.8	3.096	13.501		45.404	3.096	14.665		5.098	0.977	5.218		5.528	1	5.528
8		1.333	0.1	13.33		1.341	0.181	7.408839779		5.941	1.99	2.985427136		43.697	3.096	14.114		45.272	3.096	14.623		5.07	0.98	5.173		5.4	1	5.4
6.67		1.167	0.1	11.67		1.168	0.162	7.209876543		3.961	1.99	1.990452261		44.666	3.096	14.427		45.272	3.096	14.623		5.069	0.995	5.094		5.356	1.008	5.313
5.71		1.067	0.1	10.67		1.048	0.156	6.717948718		3.98	1.99	2		44.811	3.096	14.474		45.144	3.096	14.581		5.021	0.988	5.082		5.308	1.008	5.266
5		1	0.1	10		0.98	0.143	6.853146853		2.99	1.99	1.502512563		44.75	3.096	14.454		45.14	3.096	14.58		5.049	0.964	5.238		5.24	0.976	5.369
4		0.9	0.1	9		0.899	0.137	6.562043796		2.98	1	2.98		41.707	3.096	13.471		45.012	3.096	14.539		5.001	0.941	5.315		5.12	0.952	5.378
2.86		0.767	0.1	7.67		0.737	0.14	5.264285714		2.99	1.99	1.502512563		41.709	3.096	13.472		44.88	3.096	14.496		5.018	0.964	5.205		5.128	1.012	5.067
2		0.667	0.1	6.67		0.655	0.135	4.851851852		1.99	1.99	1		44.764	3.096	14.459		44.88	3.096	14.496		5.011	0.971	5.161		5.04	0.984	5.122
1.33		0.6	0.1	6		0.557	0.129	4.317829457		1.99	1.99	1		44.752	3.096	14.455		44.752	3.096	14.455		5.027	0.973	5.166		5.048	1.008	5.008
1		0.533	0.1	5.33		0.527	0.115	4.582608696		1.99	1.99	1		44.749	3.096	14.454		44.752	3.096	14.455		5.021	0.977	5.139		5.04	1.008	5
0.5		0.4	0.1	4		0.396	0.118	3.355932203		1.99	1	1.99		41.679	3.096	13.462		44.752	3.096	14.455		5.014	0.98	5.116		5.056	1	5.056
0.2		0.333	0.1	3.33		0.317	0.093	3.408602151		1.99	1.99	1		41.337	3.096	13.352		44.752	3.096	14.455		5.019	0.957	5.245		5.052	0.98	5.155
0.1		0.267	0.1	2.67		0.293	0.115	2.547826087		1.99	1.99	1		44.752	3.096	14.455		44.752	3.096	14.455		4.993	0.949	5.261		5.048	0.988	5.109
